Name,Category,Tier,Element,HP,STR,AGI,INT,pDef,mDef,Total Stats,Attack,Attack Type,Damage Type,Attack Range,Attack Speed,Armor Type,Move Interval,Aggression,Spawn Weight,XP,Elite,Has Shield,Base DPS,Effective HP (Phys),Effective HP (Magic),Threat Rating,Role Classification,Special Mechanic,AI Behavior Notes,Description
Magma Slime,Volcanic,TIER_3,fire,60,12,5,8,15,8,108,Slam,physical,blunt,1,2.5,unarmored,3,2,30,25,FALSE,FALSE,4.8,75.0,68.0,Low,Tank (Slow),None,High turn chance - erratic movement,"A slow, gelatinous blob of living lava."
Obsidian Golem,Volcanic,ELITE,physical,105,18,3,4,20,5,155,Boulder Smash,physical,blunt,1,3.0,stone,3,2,3,45,FALSE,FALSE,6.0,126.0,110.3,High,Tank (Slow),Earthquake (AOE stun),Pauses frequently; has special attack,"A towering construct of jagged black rock. Extremely durable but very slow."
Cinder Wisp,Volcanic,TIER_2,fire,30,3,16,18,2,15,84,Flare,magic,magic,4,1.5,ethereal,1,4,7,35,FALSE,FALSE,12.0,30.6,34.5,Medium,Glass Cannon,None,Kites at range 4,"A floating ball of fire. Fast and deadly with magic but dies in one hit."
Flame Bat,Volcanic,TIER_3,fire,40,10,20,2,4,4,80,Singe Bite,physical,pierce,1,1.2,hide,1,5,8,30,FALSE,FALSE,8.3,41.6,41.6,Medium,Assassin,None,Flees at 40% HP; fast attack cooldown,"A frantic flying pest. Moves twice per second making it hard to escape."
Ash Walker,Volcanic,TIER_2,dark,75,14,6,5,8,12,120,Choke,physical,blunt,1,2.2,bone,2,3,6,30,FALSE,FALSE,6.4,81.0,84.0,Medium,Bruiser,None,Can see in dark,"A reanimated corpse covered in volcanic ash. Resistant to magic."
Salamander,Volcanic,TIER_2,nature,55,12,12,10,10,10,109,Tail Whip,physical,blunt,1,1.8,scaled,2,3,5,35,FALSE,FALSE,6.7,60.5,60.5,Medium,Balanced,None,Standard tier 2 behavior,"A four-legged reptile with glowing red scales. Balanced stats."
Pyro Cultist,Volcanic,TIER_1,fire,50,6,10,16,5,8,95,Ember Bolt,magic,magic,5,2.0,unarmored,2,4,3,40,FALSE,FALSE,8.0,52.5,54.0,Medium,Ranged Caster,None,Kites at range 5; tactical AI,"A deranged mage worshipping the volcano. Casts ranged fire spells."
Cave Bat,Cave,TIER_3,physical,25,6,18,2,2,2,55,Bite,physical,pierce,1,1.0,hide,1,4,12,15,FALSE,FALSE,6.0,25.5,25.5,Low,Swarm,None,Flees at 50% HP; very fast attacks,"A common cave pest. Weak but fast and annoying."
Stone Lurker,Cave,TIER_2,earth,80,14,4,3,18,5,124,Rock Slam,physical,blunt,1,2.8,stone,3,2,5,35,FALSE,FALSE,5.0,94.4,84.0,Medium,Tank (Slow),None,Standard tier 2 behavior,"A rock-like creature that ambushes prey. High defense low speed."
Mushroom Sprite,Cave,TIER_2,nature,35,5,8,14,4,12,78,Spore Cloud,magic,magic,3,2.2,unarmored,2,2,30,28,FALSE,FALSE,6.4,36.4,39.2,Low,Support Caster,None,Standard tier 2 behavior,"A sentient fungus that releases toxic spores."
Crystal Spider,Cave,TIER_1,physical,45,11,14,6,8,10,94,Venomous Bite,physical,pierce,1,1.3,scaled,1,4,5,32,FALSE,FALSE,8.5,48.6,49.5,Medium,Assassin,None,Fast attack cooldown; tactical AI,"A spider with crystalline legs. Fast and venomous."
Skeletal Warrior,Undead,TIER_2,death,50,13,8,3,10,3,87,Bone Slash,physical,blade,1,1.8,bone,2,3,8,28,FALSE,FALSE,7.2,55.0,51.5,Medium,Melee Fighter,None,Standard tier 2 behavior,"An undead warrior animated by dark magic."
Phantom,Undead,TIER_1,death,40,4,12,16,2,18,92,Soul Drain,magic,magic,3,2.0,ethereal,2,3,30,38,FALSE,FALSE,8.0,40.8,47.2,Medium,Ranged Caster,None,Can see in dark; kites at range 3,"A ghostly apparition that drains life force."
Bone Golem,Undead,ELITE,death,120,20,3,2,16,8,169,Crushing Blow,physical,blunt,1,3.2,bone,3,2,2,55,FALSE,FALSE,6.3,139.2,129.6,High,Tank (Slow),Bone Shatter (AOE bleed),Pauses often; has special attack,"A massive construct of fused bones. Slow but devastating."
Deep Crawler,Aquatic,TIER_2,water,55,12,10,4,12,6,99,Pincer Strike,physical,pierce,1,1.6,scaled,2,3,6,30,FALSE,FALSE,7.5,61.6,58.3,Medium,Bruiser,None,Standard tier 2 behavior,"A large crustacean adapted to dark caves."
Tide Serpent,Aquatic,TIER_1,water,65,14,14,8,8,10,119,Aqua Fang,physical,pierce,1,1.4,scaled,1,4,4,40,FALSE,FALSE,10.0,70.2,71.5,Medium,Assassin,None,Tactical AI; flanks target,"A swift water snake with venomous fangs."
Shadow Stalker,Shadow,TIER_1,dark,45,15,16,8,6,10,100,Shadow Strike,physical,blade,1,1.0,hide,1,5,4,42,FALSE,FALSE,15.0,47.7,49.5,High,Assassin,None,Can see in dark; 1.0s attack cooldown,"A predator that hunts from the darkness. Extremely fast."
Void Touched,Shadow,ELITE,dark,70,10,8,18,8,16,130,Void Bolt,magic,magic,4,1.8,ethereal,2,3,30,48,FALSE,FALSE,10.0,75.6,81.2,High,Ranged Caster,Void Blast (AOE slow),Can see in dark; kites; has special,"A being corrupted by void energy. Powerful magic attacks."
Frost Elemental,Ice,TIER_2,ice,55,6,10,18,4,18,111,Frost Bolt,magic,magic,4,1.6,ethereal,2,3,5,45,FALSE,FALSE,11.3,57.2,64.9,Medium,Ranged Caster,None,Standard tier 2 behavior,"A sentient manifestation of pure cold. Casts powerful ice magic."
Ice Golem,Ice,TIER_2,ice,130,20,3,4,22,12,191,Frozen Slam,physical,blunt,1,3.2,stone,3,2,3,55,FALSE,FALSE,6.3,158.6,145.6,High,Tank (Slow),None,Standard tier 2 behavior,"A massive construct of ancient ice. Incredibly durable and slow."
Frozen Husk,Ice,TIER_2,ice,60,14,6,4,10,8,102,Chilling Grasp,physical,blade,1,2.0,bone,2,3,6,32,FALSE,FALSE,7.0,66.0,64.8,Medium,Melee Fighter,None,Standard tier 2 behavior,"A frozen corpse animated by bitter cold. Chills on contact."
Blizzard Spirit,Ice,TIER_2,ice,35,4,20,14,2,14,89,Frost Wind,magic,magic,3,1.2,ethereal,1,4,5,38,FALSE,FALSE,11.7,35.7,39.9,Medium,Glass Cannon,None,Standard tier 2 behavior,"A swift winter spirit. Moves like the wind and freezes all it touches."
Shadow Imp,Combat Variety,TIER_2,dark,30,10,20,6,3,6,75,Quick Slash,physical,blade,1,0.8,hide,1,5,5,28,FALSE,FALSE,12.5,30.9,31.8,Medium,Assassin,Swift Timing (0.8s),Very fast attacks - minimal warning,"A swift demonic pest. Attacks with minimal warning - requires quick reflexes!"
Temple Sentinel,Combat Variety,TIER_2,holy,90,16,6,8,16,12,148,Shield Bash,physical,blunt,1,2.2,plate,2,2,3,50,FALSE,TRUE,7.3,104.4,100.8,Medium,Tank (Shield),Shield Block,Blocks frontal attacks; requires flanking,"An ancient temple guardian with a shield. Flanking or shield-breaking required!"
Stone Guardian,Combat Variety,TIER_2,earth,150,28,2,4,25,8,217,Crushing Blow,physical,blunt,1,3.5,stone,4,2,2,65,FALSE,FALSE,8.0,187.5,162.0,Very High,Tank (Slow),Heavy Timing (3.5s telegraph),Long telegraphs but tracks player,"A massive stone construct. Telegraphs attacks but tracks you until striking!"
Demon Knight,Combat Variety,TIER_2,dark,120,22,10,10,18,14,194,Charge Strike,physical,blade,1,2.5,plate,2,4,2,70,FALSE,FALSE,8.8,141.6,136.8,High,Bruiser (Charger),Charge + Knockback,Rushes at player; knocks back on hit,"A demonic warrior that charges at its prey. Knocks targets back on hit!"
Giant Spider,Combat Variety,TIER_2,nature,85,18,12,6,10,8,139,Sweeping Legs,physical,pierce,1,2.0,hide,2,3,4,48,FALSE,FALSE,9.0,93.5,91.8,Medium,Bruiser (Sweeper),Sweeping Attack Arc,Wide attack cone - hard to dodge,"A massive spider with sweeping leg attacks. Wide attack arc - hard to dodge!"
Shield Bearer,Combat Variety,TIER_2,physical,70,12,8,6,14,10,120,Shield Thrust,physical,blunt,1,2.0,mail,2,2,5,38,FALSE,TRUE,6.0,79.8,77.0,Medium,Tank (Shield),Shield Block,Blocks frontal attacks; flank to defeat,"A soldier with a sturdy shield. Attack from behind or break the guard!"
