MONSTER IDENTITY,,,,PRIMARY ATTACK,PRIMARY RATIONALE,SECONDARY ATTACK,SECONDARY RATIONALE,PASSIVE / MECHANIC,PASSIVE RATIONALE,COMBAT FANTASY,WHAT THE PLAYER DOES
Monster,Category,Tier,Current Role,Primary Attack,Why This Primary,Secondary Attack,Why This Secondary,Passive / Mechanic,Why This Passive,Combat Fantasy (How the Fight Feels),What the Player Actually Does
Cave Bat,Cave,TIER_3,Swarm,claw_swipe,"Fast (350ms telegraph, 1.5s CD). Lowest commitment attack in the game. Matches the frantic, swarming pest fantasy. At tier 3 scaling (0.4x damage = ~6 dmg per hit), individually trivial but relentless in groups.",— (single ability only),"Fodder enemies should be simple. One attack, one behavior. Complexity comes from numbers, not individual depth.","pack_hunter (+10% per ally, max 50%)","6 Cave Bats together get +50% damage, turning 6 dmg hits into 9 dmg hits. A swarm of 8 hitting every 1.5s = ~48 DPS collectively. That's lethal if you don't thin the herd fast. Creates urgency to AoE or chokepoint them.",A cloud of screeching bats floods the room. Individually pathetic. Collectively terrifying. They pour through doorways and surround isolated players.,"Use wide-arc attacks or chokepoints to kill multiples. Don't let them surround you. Sprint to regroup if isolated. The fight is spatial control, not individual dueling."
Flame Bat,Volcanic,TIER_3,Assassin,bite (Vicious Bite),"300ms telegraph — nearly instant. 22 base damage × 0.4 tier = ~9 dmg, but the bleed (3 dmg/tick for 3s = 9 more) doubles effective damage to ~18. For a tier 3 enemy, that's significant. The bleed punishes players who ignore it.",— (single ability only),Tier 3 enemies get one attack. The bite + bleed is already more complex than most fodder. Adding a second ability would make it too demanding for its tier.,evasion (20% dodge chance),"A fast, erratic flying pest that sometimes dodges your attacks. Frustrating in a good way — you swing, miss, and it bites you while you're recovering. Forces players to commit extra attacks rather than one-shotting it.","A frantic pest that darts in, bites, and applies a bleed that keeps ticking. Not scary alone, but two or three of them stacking bleeds while you're fighting something bigger is a real problem.","Swat it fast before bleeds stack. Prioritize over slower enemies because the bleed damage accumulates. When multiple Flame Bats are active, the group's total incoming damage ramps quickly."
Crystal Spider,Cave,TIER_1,Assassin,web_shot (Web Shot),"This is the Crystal Spider's identity: root a player for 2 seconds. 300ms telegraph, 4s cooldown. The root itself only does 5 damage — the danger is what happens WHILE you're rooted. Other enemies can freely hit you. In multiplayer, a rooted player needs teammates to cover them.",pounce (Pounce),"After rooting a target, the Spider pounces on them (20 dmg, 500ms telegraph, leaps to target). The combo is: web ? pounce. The player sees the web, knows the pounce is coming, and has 2 seconds to have a teammate intercept or kill the Spider.","poison_touch (2 dmg/tick, 3s)","Every hit applies a mild poison. Combined with the root + pounce combo, a single Spider engagement applies: 5 (web) + 20 (pounce) + 6 (poison ticks) = 31 damage. That's a real chunk from a single enemy, and teammates near the rooted player take poison too.","The Spider webs you from range, pounces in, then retreats to set up the next web. The fight has a clear rhythm: dodge the web ? chase during cooldown ? dodge the next web. If you get hit, brace for the pounce.","Dodge the web shot — it's the entire fight. If rooted, call out to teammates immediately. Kill it during the pounce recovery or while it's retreating. Ping skill reveals it if it's hiding in a dark area."
Cinder Wisp,Volcanic,TIER_2,Glass Cannon,"projectile_burst (3 projectiles, 30° spread)","At range, the spread means only 1 projectile is likely to hit. At close range, all 3 can connect. This creates a distance dilemma: safer at range (less likely to get hit) but it kites away. Close the gap and you eat the full burst. 600ms telegraph, readable but fast.","fire_breath (cone, 60° r6)","When a player gets too close, the Wisp switches from projectiles to fire breath — a cone that's much harder to dodge at melee range. This punishes players who rush in without dodging. The 1s telegraph gives time to sidestep, but only if you're watching for it.","teleport_when_hurt (25% chance, 4-8 range)","You finally close the gap, land a hit, and it teleports away. Infuriating by design. Forces the group to either corner it (positioning) or burst it down before the teleport triggers. Ranged attacks become valuable specifically for this enemy.","A glass cannon that maintains distance, fires spreads, punishes close approaches with fire breath, and teleports away when damaged. It's fragile (30 HP at tier 2) but incredibly annoying to pin down.","Close distance carefully, dodge the burst spread. When in melee range, watch for fire breath telegraph and sidestep. Ideally two players approach from different angles so it can't kite away from both. Ranged attacks are the efficient answer."
Pyro Cultist,Volcanic,TIER_1,Ranged Caster,"homing_orb (slow homing projectile, 25 dmg)","The homing orb is a persistent threat — it follows a player until it hits something. Speed 4 means a walking player can outrun it, but it forces them to keep moving. While kiting the orb, they're not contributing to other fights. 800ms telegraph to dodge the initial cast.","projectile_volley (8 projectiles, 360° ring)","When pressured at close range, the Cultist fires a ring of projectiles in all directions. This is a 'get away from me' ability — it punishes melee rushdown and forces the group to scatter momentarily. Boss-only in your sheet, but at TIER_1 this enemy is veteran-tier and can handle it.",regeneration (2% HP/sec after 3s no damage),"If the group ignores the Cultist, it heals back. Combined with kiting behavior, a Cultist that successfully maintains distance slowly undoes any chip damage. Forces the group to commit to killing it rather than poking and focusing elsewhere.","A dangerous ranged enemy that fires homing orbs (persistent threat), punishes close approaches with a projectile ring, and heals if left alone. The group has to dedicate someone to chasing it down while dealing with other enemies.","One player commits to chasing the Cultist while others handle frontline enemies. Dodge the homing orb cast, then ignore the orb itself (outrun it). Close distance and burst the Cultist before it can regen. The projectile ring means don't approach from directly in front."
Demon Knight,Combat Variety,TIER_2,Bruiser (Charger),"charge (35 dmg, 800ms telegraph, stuns 1s)","THE signature charger attack. 800ms is long enough to dodge if you're paying attention, but short enough to catch you if you're distracted by other enemies. The stun means getting hit is double punishment — damage plus 1 second of vulnerability to other enemies.","heavy_slam (40 dmg, knockback force 3)","When in melee range (post-charge or when cornered), the Demon Knight uses heavy slam to push players away. This resets the engagement to charging distance — the Knight knocks you back, retreats, then charges again. The fight has a rhythm: charge ? slam ? retreat ? charge.","enrage (below 30% HP: +50% dmg, +30% speed)","A nearly-dead Demon Knight is the most dangerous version. The charge that did 35 damage now does 52. The 800ms telegraph gets faster (30% speed applies to movement, making the charge harder to react to). The group knows: finish this thing fast or the last 30% of the fight is more dangerous than the first 70%.","Charges in, hits hard, slams you away, retreats to charge range, does it again. When enraged, the cycle speeds up dramatically. The room shakes when it charges. You hear it coming.","Read the charge telegraph and sidestep. After the charge, it's briefly committed — punish the recovery. When it enrages below 30%, either burst it down immediately or play extremely safe. The heavy slam knockback can push you into hazards or other enemies — watch your back."
Temple Sentinel,Combat Variety,TIER_2,Tank (Shield),"heavy_slam (40 dmg, knockback, 1.2s telegraph)","Slow, telegraphed, but devastating. The knockback pushes flanking players away, resetting their position. The Sentinel doesn't need fast attacks — its shield means you spend most of your time trying to get behind it, not dodging.","stomp (18 dmg, circle r2, stun 500ms)","When surrounded or flanked, the Sentinel stomps — a short-range AoE that briefly stuns everyone nearby. This is the anti-flanking tool: you get behind it, it stomps, you're stunned for 500ms, and it rotates to face you. Now you're back in front of the shield. Forces the group to stagger their flanking attempts.",shield_barrier (directional block — remap to frontal damage reduction),"Frontal 90° arc blocks all basic attacks. Heavy attacks break the shield for 3 seconds. This IS the Sentinel's identity. Without the shield, it's just a slow melee enemy. With it, every encounter is a flanking puzzle.","Stands its ground, faces the nearest threat, blocks from the front, punishes flankers with stomps, and hits hard when you're in its arc. Doesn't chase — controls a zone.","Don't attack from the front. One player holds aggro (stands in front, dodges the heavy slam), while another circles behind. Watch for the stomp telegraph when you're flanking — back off, let the stun pass, then re-engage from behind. Heavy attack to break the shield if you can't get around it."
Stone Guardian,Combat Variety,TIER_2,Tank (Slow),"ground_slam (30 dmg, circle r3, 1s telegraph, screen shake)","The signature heavy hit. r3 circle means it hits everything nearby — no safe angle. The screen shake is the visceral feedback. At 150 HP this enemy takes a long time to kill, so the group eats multiple ground slams per fight. Each one demands a dodge.","stomp (18 dmg, stun 500ms, circle r2)","A shorter-range, faster stun that catches players trying to get quick hits between ground slams. The Stone Guardian alternates: ground slam (big, dodge away), stomp (fast, catches you if you rush back in too quickly). The fight rhythm is: dodge slam ? approach ? get 1-2 hits ? dodge stomp ? back off ? repeat.",thorns (15% reflect) + armored (+10 armor),"Reflects damage AND has high armor. Melee attackers take chip damage with every swing. The message is clear: this thing is built to punish sustained melee trading. Use heavy attacks for burst instead of basic attack spam, or use ranged attacks.","A slow, relentless wall that punishes everything. Melee hurts you (thorns). Getting close triggers stomps. Staying at medium range eats ground slams. The only winning play is disciplined hit-and-run: dodge a slam, rush in, land 1-2 hits, dodge the stomp, retreat.","Patience. This is a war of attrition. Don't stand and trade — the thorns and armor mean you lose that trade. Dodge the ground slam, get 1-2 hits during recovery, dodge the follow-up stomp, retreat. Ranged attacks avoid thorns entirely. With 5 players, stagger your approaches so someone is always hitting during recovery windows."
Giant Spider,Combat Variety,TIER_2,Bruiser (Sweeper),"sweep (Sweeping Attack, 270° arc r3, 1s telegraph)","270 degrees means the ONLY safe position is directly behind it. This is the widest attack arc in your ability list. At 25 base damage × tier scaling, it hits hard AND it hits almost everyone. The group can't just spread around it — they need to be behind it.","web_shot (root 2s, 300ms telegraph)","Roots a player in place, then sweeps them. The combo is brutal: web ? sweep. The rooted player can't dodge the 270° arc. Teammates need to either kill the Spider before the sweep, break the root (if that mechanic exists), or accept the hit and heal.",ambusher (+50% first strike damage),"The first sweep or web comes with bonus damage. If the Spider is placed as an ambush spawn (behind the group, triggered by proximity), the first hit is devastating. After the ambush, it becomes a standard bruiser — but that opening hit makes every Spider encounter start with a spike of panic.","Aggressive but with the web combo adding tactical depth. It doesn't just charge in — it webs, then sweeps. The wide arc makes positioning the central challenge. You MUST get behind this enemy.","Get behind it immediately. The 270° sweep has a 1s telegraph — when you see it, get to its back or get out of range. If webbed, call for help. The Spider is the highest-priority flank target in any encounter because its sweep damages the entire frontline."
